metric,n0,n1,mean0,mean1,diff,bf_p,t,p,hedges_g,error
grade3_mean,13,54,5.048290598290598,2.9665179949138465,-2.0817726033767516,0.8874999194515637,-5.992828874257039,9.957233408830983e-06,-1.7992817267070287,
grade1_volatility,13,54,0.9841412218762341,1.2536582094077418,0.26951698753150766,0.03172829945076812,3.3968840616091587,0.0016030011409544618,0.7026068705580858,
overall_mean,13,54,4.617809189444778,3.468248491181371,-1.1495606982634072,0.5864214813648679,-3.589002378345276,0.0021519646784339034,-1.1278430270763435,
grade2_mean,13,54,4.496301084536378,3.709610183752341,-0.7866909007840368,0.4598863976704798,-2.2881055206414698,0.03552497922586613,-0.7627213505203017,
rank_volatility,13,54,1.2638156571069028,1.0670288014545404,-0.19678685565236242,0.2848495100636706,-2.252849577630938,0.038130915713258016,-0.7532228348966887,
overall_volatility,13,54,1.2638156571069028,1.4425395918661055,0.17872393475920267,0.4415093740514616,1.8233215640845486,0.0801687406770643,0.45047633816781535,
rank_mean,13,54,4.617809189444778,4.063311267714061,-0.5544979217307171,0.9366294223285827,-1.6681098046961298,0.11068334944157004,-0.46945479111256144,
grade1_mean,13,54,4.229166666666668,3.7304427825261155,-0.49872388414055235,0.8187261027065733,-1.4151001148421043,0.17289401955741449,-0.41105453744767284,
grade2_volatility,13,54,1.124047012613899,1.284428548862618,0.16038153624871887,0.7622684993486628,1.3661712832465718,0.1865451135676292,0.37868607494576534,
grade3_volatility,13,54,1.2097204365065248,1.3316209928774991,0.1219005563709743,0.9680524310353563,0.7857596238022704,0.44202485822328874,0.2383960963213353,
achievement_mean,0,44,,,,,,,,표본 부족(각 그룹 최소 2개 필요)
achievement_volatility,0,44,,,,,,,,표본 부족(각 그룹 최소 2개 필요)
seteuk_length_mean,0,0,,,,,,,,표본 부족(각 그룹 최소 2개 필요)
